,Original,Shuffled
0,0.7952002335959555,0.4443828880567945
1,0.787638949358496,0.4514137174980058
2,0.7570847832258258,0.4495169728874198
3,0.8547417463072315,0.4254837067940773
4,0.7654318819370621,0.4490617464413724
5,0.8067395074578194,0.4449786186549493
6,0.7565870137473947,0.44291265704786964
7,0.6827056414263968,0.4485489543951285
8,0.6761608867354976,0.47143052943729685
9,0.7900865118444851,0.4402342743412898
10,0.6656755008900546,0.5765617887817103
11,0.6904744626945949,0.5716374984533779
12,0.6713141342965746,0.5562897334739567
13,0.6790738226678793,0.5342478108290786
14,0.6341365111752184,0.5584988664210181
15,0.6801982219711141,0.5493243916813394
16,0.6775749381360763,0.5596402068007669
17,0.6627651486632653,0.5333387113261281
18,0.7304479636575907,0.5444452058166993
19,0.6801975365931284,0.5835855684097658
20,0.8195622038634333,0.5224718594572505
21,0.7672066316240095,0.5304310380549674
22,0.7195675196480754,0.5595334860225385
23,0.8004482044840271,0.5342469713578348
24,0.7907523524634437,0.5453305378732486
25,0.8063450600838216,0.5351906630315905
26,0.7946172871390959,0.5304621350374568
27,0.7142951710546883,0.5545446230614178
28,0.8307201744168355,0.5211624727953432
29,0.7938641094892673,0.5386777781404692
30,0.7255123025102205,0.4127096142861617
31,0.7940611817544899,0.40184478605811136
32,0.7370744282999792,0.43133701542869185
33,0.7001631156676363,0.4141702936340147
34,0.8124082762131556,0.41816752081337266
35,0.6977434213076843,0.41992041327794494
36,0.8076420599600753,0.42905819272243867
37,0.7292761019979586,0.4203987245628617
38,0.7083915054928085,0.4351951432939305
39,0.7437681936366487,0.43508474149076287
40,0.82334672716926,0.565118272368407
41,0.7565150429054537,0.5852069940217457
42,0.8342861606007764,0.5766473980912153
43,0.8231856351033727,0.5834002317887423
44,0.8125655490456245,0.5801516516667459
45,0.8090480004357223,0.5710676154319584
46,0.7890433398033881,0.5607198767681909
47,0.7875253702913015,0.5711511917704579
48,0.721291468347148,0.5658701124603346
49,0.8232798596579645,0.5654627106411888
50,0.5480148797776747,0.4669303809423577
51,0.536792644264628,0.45205252098035964
52,0.5362916887188932,0.45359693126327066
53,0.5005883301633227,0.4418163386107915
54,0.5279456983672034,0.43870059574265585
55,0.522669504995544,0.46072612176626465
56,0.5232064349376535,0.42889336711848985
57,0.5732512637854447,0.46492589667617595
58,0.5977837598071883,0.4666308311748296
59,0.5518964467541544,0.47488627638136544
60,0.6296092470647502,0.450155310093418
61,0.6840406282954807,0.4448831071864621
62,0.6347979299613911,0.46167771936866697
63,0.5932005545810942,0.43889492809484115
64,0.681255351228337,0.45267041454513457
65,0.665496037619011,0.45743033019524987
66,0.763897361835675,0.4607380671008693
67,0.7464229014343917,0.427661361453345
68,0.6529314228369671,0.4507674842157714
