,Newman,Random
0,0.7126436781609196,0.628383908045977
1,0.6758620689655173,0.6319011494252874
2,0.8206896551724138,0.626464367816092
3,0.7149425287356321,0.6282344827586207
4,0.8137931034482758,0.6267195402298851
5,0.9333333333333333,0.5077011494252874
6,0.7126436781609196,0.48022298850574713
7,0.871264367816092,0.5086505747126436
8,0.7609195402298851,0.49062988505747124
9,0.5954022988505747,0.5028896551724138
10,0.5655172413793104,0.5079310344827587
11,0.5402298850574713,0.5077333333333334
12,0.6298850574712643,0.5063310344827586
13,0.7126436781609196,0.5068528735632184
14,0.5655172413793104,0.5084689655172415
15,0.7195402298850575,0.5689747126436782
16,0.7931034482758621,0.5906781609195403
17,0.8160919540229885,0.5943609195402298
18,0.6091954022988506,0.5911586206896552
19,0.6252873563218391,0.5807011494252874
20,0.7149425287356321,0.5920114942528735
21,0.7126436781609196,0.5899471264367817
22,0.871264367816092,0.5659310344827586
23,0.7609195402298851,0.5913954022988507
24,0.8229885057471265,0.5905034482758621
25,0.7126436781609196,0.4910758620689655
26,0.5402298850574713,0.4803080459770115
27,0.5402298850574713,0.479864367816092
28,0.6689655172413793,0.4993908045977012
29,0.9333333333333333,0.5024804597701149
30,0.7724137931034483,0.591983908045977
31,0.6666666666666666,0.5912413793103449
32,0.7149425287356321,0.5905241379310345
33,0.5862068965517241,0.5907379310344827
34,0.832183908045977,0.5940942528735632
35,0.8137931034482758,0.5037057471264368
36,0.6298850574712643,0.5087747126436782
37,1.0,0.5083034482758622
38,0.9333333333333333,0.5090390804597701
39,0.7126436781609196,0.5029287356321839
40,0.7080459770114943,0.5871287356321838
41,0.6758620689655173,0.5920896551724139
42,0.6597701149425287,0.5950344827586207
43,0.6413793103448275,0.5907126436781609
44,0.5655172413793104,0.5931494252873563
45,0.6689655172413793,0.4899448275862069
46,0.5402298850574713,0.468264367816092
47,0.6298850574712643,0.49797931034482756
48,0.5954022988505747,0.503367816091954
49,0.49195402298850577,0.49845287356321843
