,Original,Shuffled
0,0.552860617691309,0.060720497972430135
1,0.543660057588437,0.05892092339773565
2,0.5399633039616337,0.061603841970662127
3,0.5282437234580033,0.06044493552852248
4,0.5375042487225496,0.062125781206178524
5,0.5301429042259352,0.04830657126837844
6,0.5305853090540584,0.04826920832292922
7,0.5305987046296085,0.04724605969460622
8,0.5299842836528312,0.04703281670898568
9,0.5301117185369787,0.047755539753173454
10,0.4801301898309706,0.0440918982931027
11,0.4801400046195367,0.043780837893983
12,0.4800179180861469,0.046028248210007325
13,0.4803090404837942,0.04524107807751756
14,0.48042993932857236,0.04700694687885793
15,0.5558064626957496,0.05284927112409376
16,0.5259839860125606,0.05084188720294321
17,0.5216381727801392,0.05153624784789126
18,0.5222823054363152,0.05107152331874597
19,0.5333545158370918,0.05152317640461004
20,0.49448911703550413,0.04498611840729953
21,0.4950443581630369,0.04544262764237324
22,0.4942408598355692,0.04534321977230093
23,0.4950005281509193,0.04642785709721318
24,0.49082610280543365,0.044140135339145625
25,0.5596054446731452,0.054856939419104106
26,0.5888446867883574,0.05416358634627906
27,0.5825733262195406,0.05436061365396813
28,0.5742631551344507,0.05781633069849963
29,0.5663596451815872,0.0570366955654227
30,0.4898163426969247,0.05097407643534919
31,0.46763327452271064,0.0497781059947031
32,0.48592787506840784,0.05117816819714241
33,0.4834665641405476,0.04804988450446915
34,0.4705932463638617,0.05138090653733958
35,0.5230006872944548,0.04101660950824298
36,0.5228740349329896,0.041387805073777394
37,0.5229737793355926,0.03911185135251199
38,0.5229906465870227,0.038466669560121985
39,0.5228154684878417,0.03930703839507832
40,0.5013264745672021,0.048552388269188014
41,0.5065267229532817,0.04706316671158136
42,0.5010708302693253,0.04972714608802112
43,0.5016303303842449,0.0488229979577503
44,0.5067803415540021,0.050734931726352926
45,0.5544453510520003,0.04674974156030868
46,0.5542552550887926,0.05020837190103171
47,0.5544119771295076,0.051192518395912275
48,0.554509142175212,0.04608380307556722
49,0.5544509785403003,0.04761880263143227
