,Time,Original,Shuffled
0,0.5,,
1,0.5,,
2,0.5,,
3,0.5,,
4,0.5,,
5,0.5,,
6,0.5,,
7,0.5,,
8,0.5,,
9,0.5,,
10,0.5,,
11,0.5,,
12,0.5,,
13,0.5,,
14,0.5,,
15,0.5,,
16,0.5,,
17,0.5,,
18,0.5,,
19,0.5,,
20,0.5,,
21,0.5,,
22,0.5,,
23,0.5,,
24,0.5,,
25,0.5,,
26,0.5,,
27,0.5,,
28,0.5,,
29,0.5,,
30,0.5,,
31,0.5,,
32,0.5,,
33,0.5,,
34,0.5,,
35,0.5,,
36,0.5,,
37,0.5,,
38,0.5,,
39,0.5,,
40,0.5,,
41,0.5,,
42,0.5,,
43,0.5,,
44,0.5,,
45,0.5,,
46,0.5,,
47,0.5,,
48,0.5,,
49,0.5,,
50,0.5,,
51,0.5,,
52,0.5,,
53,0.5,,
54,0.5,,
55,0.5,,
56,0.5,,
57,0.5,,
58,0.5,,
59,0.5,,
60,0.5,,
61,0.5,,
62,0.5,,
63,0.5,,
64,0.5,,
65,0.5,,
66,0.5,,
67,0.5,,
68,0.5,,
69,0.5,,
70,0.5,,
71,0.5,,
72,0.5,,
73,0.5,,
74,0.5,,
75,0.5,,
76,0.5,,
77,0.5,,
78,0.5,,
79,0.5,,
80,0.5,,
81,0.5,,
82,0.5,,
83,0.5,,
84,0.5,,
85,0.5,,
86,0.5,,
87,0.5,,
88,0.5,,
89,0.5,,
90,0.5,,
91,0.5,,
92,0.5,,
93,0.5,,
94,0.5,,
95,0.5,,
96,0.5,,
97,0.5,,
98,0.5,,
99,0.5,,
100,0.5,,
101,0.5,,
102,0.5,,
103,0.5,,
104,0.5,,
105,0.5,,
106,0.5,,
107,0.5,,
108,0.5,,
109,0.5,,
110,0.5,,
111,0.5,,
112,0.5,,
113,0.5,,
114,0.5,,
115,0.5,,
116,0.5,,
117,0.5,,
118,0.5,,
119,0.5,,
120,0.5,,
121,0.5,,
122,0.5,,
123,0.5,,
124,0.5,,
125,0.5,,
126,0.5,,
127,0.5,,
128,0.5,,
129,0.5,,
130,0.5,,
131,0.5,,
132,0.5,,
133,0.5,,
134,0.5,,
135,0.5,,
136,0.5,,
137,0.5,,
138,0.5,,
139,0.5,,
140,0.5,,
141,0.5,,
142,0.5,,
143,0.5,,
144,0.5,,
145,0.5,,
146,0.5,,
147,0.5,,
148,0.5,,
149,0.5,,
150,0.5,,
151,0.5,,
152,0.5,,
153,0.5,,
154,0.5,,
155,0.5,,
156,0.5,,
157,0.5,,
158,0.5,,
159,0.5,,
160,0.5,,
161,0.5,,
162,0.5,,
163,0.5,,
164,0.5,,
165,0.5,,
166,0.5,,
167,0.5,,
168,0.5,,
169,0.5,,
170,0.5,,
171,0.5,,
172,0.5,,
173,0.5,,
174,0.5,,
175,0.5,,
176,0.5,,
177,0.5,,
178,0.5,,
179,0.5,,
180,0.5,,
181,0.5,,
182,0.5,,
183,0.5,,
184,0.5,,
185,0.5,,
186,0.5,,
187,0.5,,
188,0.5,,
189,0.5,,
190,0.5,,
191,0.5,,
192,0.5,,
193,0.5,,
194,0.5,,
195,0.5,,
196,0.5,,
197,0.5,,
198,0.5,,
199,0.5,,
200,0.5,,
201,0.5,,
202,0.5,,
203,0.5,,
204,0.5,,
205,0.5,,
206,0.5,,
207,0.5,,
208,0.5,,
209,0.5,,
210,0.5,,
211,0.5,,
212,0.5,,
213,0.5,,
214,0.5,,
215,0.5,,
216,0.5,,
217,0.5,,
218,0.5,,
219,0.5,,
220,0.5,,
221,0.5,,
222,0.5,,
223,0.5,,
224,0.5,,
225,0.5,,
226,0.5,,
227,0.5,,
228,0.5,,
229,0.5,,
230,0.5,,
231,0.5,,
232,0.5,,
233,0.5,,
234,0.5,,
235,0.5,,
236,0.5,,
237,0.5,,
238,0.5,,
239,0.5,,
240,0.5,,
241,0.5,,
242,0.5,,
243,0.5,,
244,0.5,,
245,0.5,,
246,0.5,,
247,0.5,,
248,0.5,,
249,0.5,,
250,0.5,,
251,0.5,,
252,0.5,,
253,0.5,,
254,0.5,,
255,0.5,,
256,0.5,,
257,0.5,,
258,0.5,,
259,0.5,,
260,0.5,,
261,0.5,,
262,0.5,,
263,0.5,,
264,0.5,,
265,0.5,,
266,0.5,,
267,0.5,,
268,0.5,,
269,0.5,,
270,0.5,,
271,0.5,,
272,0.5,,
273,0.5,,
274,0.5,,
275,0.5,,
276,0.5,,
277,0.5,,
278,0.5,,
279,0.5,,
280,0.5,,
281,0.5,,
282,0.5,,
283,0.5,,
284,0.5,,
285,0.5,,
286,0.5,,
287,0.5,,
288,0.5,,
289,0.5,,
290,0.5,,
291,0.5,,
292,0.5,,
293,0.5,,
294,0.5,,
295,0.5,,
296,0.5,,
297,0.5,,
298,0.5,,
299,0.5,,
300,0.5,,
301,0.5,,
302,0.5,,
303,0.5,,
304,0.5,,
305,0.5,,
306,0.5,,
307,0.5,,
308,0.5,,
309,0.5,,
310,0.5,,
311,0.5,,
312,0.5,,
313,0.5,,
314,0.5,,
315,0.5,,
316,0.5,,
317,0.5,,
318,0.5,,
319,0.5,,
320,0.5,,
321,0.5,,
322,0.5,,
323,0.5,,
324,0.5,,
325,0.5,,
326,0.5,,
327,0.5,,
328,0.5,,
329,0.5,,
330,0.5,,
331,0.5,,
332,0.5,,
333,0.5,,
334,0.5,,
335,0.5,,
336,0.5,,
337,0.5,,
338,0.5,,
339,0.5,,
340,0.5,,
341,0.5,,
342,0.5,,
343,0.5,,
344,0.5,,
345,0.5,,
346,0.5,,
347,0.5,,
348,0.5,,
349,0.5,,
350,0.5,,
351,0.5,,
352,0.5,,
353,0.5,,
354,0.5,,
355,0.5,,
356,0.5,,
357,0.5,,
358,0.5,,
359,0.5,,
360,0.5,,
361,0.5,,
362,0.5,,
363,0.5,,
364,0.5,,
365,0.5,,
366,0.5,,
367,0.5,,
368,0.5,,
369,0.5,,
370,0.5,,
371,0.5,,
372,0.5,,
373,0.5,,
374,0.5,,
375,0.5,,
376,0.5,,
377,0.5,,
378,0.5,,
379,0.5,,
380,0.5,,
381,0.5,,
382,0.5,,
383,0.5,,
384,0.5,,
385,0.5,,
386,0.5,,
387,0.5,,
388,0.5,,
389,0.5,,
390,0.5,,
391,0.5,,
392,0.5,,
393,0.5,,
394,0.5,,
395,0.5,,
396,0.5,,
397,0.5,,
398,0.5,,
399,0.5,,
400,0.5,,
401,0.5,,
402,0.5,,
403,0.5,,
404,0.5,,
405,0.5,,
406,0.5,,
407,0.5,,
408,0.5,,
409,0.5,,
410,0.5,,
411,0.5,,
412,0.5,,
413,0.5,,
414,0.5,,
415,0.5,,
416,0.5,,
417,0.5,,
418,0.5,,
419,0.5,,
420,0.5,,
421,0.5,,
422,0.5,,
423,0.5,,
424,0.5,,
425,0.5,,
426,0.5,,
427,0.5,,
428,0.5,,
429,0.5,,
430,0.5,,
431,0.5,,
432,0.5,,
433,0.5,,
434,0.5,,
435,0.5,,
436,0.5,,
437,0.5,,
438,0.5,,
439,0.5,,
440,0.5,,
441,0.5,,
442,0.5,,
443,0.5,,
444,0.5,,
445,0.5,,
446,0.5,,
447,0.5,,
448,0.5,,
449,0.5,,
450,0.5,,
451,0.5,,
452,0.5,,
453,0.5,,
454,0.5,,
455,0.5,,
456,0.5,,
457,0.5,,
458,0.5,,
459,0.5,,
460,0.5,,
461,0.5,,
462,0.5,,
463,0.5,,
464,0.5,,
465,0.5,,
466,0.5,,
467,0.5,,
468,0.5,,
469,0.5,,
470,0.5,,
471,0.5,,
472,0.5,,
473,0.5,,
474,0.5,,
475,0.5,,
476,0.5,,
477,0.5,,
478,0.5,,
479,0.5,,
480,0.5,,
481,0.5,,
482,0.5,,
483,0.5,,
484,0.5,,
485,0.5,,
486,0.5,,
487,0.5,,
488,0.5,,
489,0.5,,
490,0.5,,
491,0.5,,
492,0.5,,
493,0.5,,
494,0.5,,
495,0.5,,
496,0.5,,
497,0.5,,
498,0.5,,
499,0.5,,
500,1.0,0.17207258845217638,0.021985731602254407
501,1.0,0.19683086148230283,0.02562211850194058
502,1.0,0.17562101112188253,0.022244475533542172
503,1.0,0.192096827831839,0.02796048196836467
504,1.0,0.18918751684350169,0.02325593805073261
505,1.0,0.17512246596682432,0.02364696101512453
506,1.0,0.17457954818279875,0.02171595989062183
507,1.0,0.195283500465268,0.030010899013148244
508,1.0,0.21952771515075795,0.022591692108178137
509,1.0,0.2104803595229347,0.0233100276356896
510,1.0,0.25820484287563467,0.0254038077198246
511,1.0,0.259009255729273,0.026890430153238092
512,1.0,0.22400645352133036,0.026666991952702862
513,1.0,0.22633360032233418,0.02464645501425361
514,1.0,0.22758558255737632,0.024409839025717358
515,1.0,0.2844967149208223,0.027513864466032906
516,1.0,0.23080630767665464,0.029426525285315953
517,1.0,0.2261149040113262,0.025879064798673423
518,1.0,0.22645209394570004,0.02275381664306447
519,1.0,0.2572161838640817,0.025763953094420835
520,1.0,0.22362994241823764,0.024740409070729462
521,1.0,0.18485046319225085,0.027105330346845286
522,1.0,0.17216973254716467,0.025245556451836293
523,1.0,0.18485046319225085,0.027404515767214
524,1.0,0.23033448995200456,0.024112076559618487
525,1.0,0.17216973254716467,0.028401574306087113
526,1.0,0.20422981419148126,0.02450052516678878
527,1.0,0.20791554505484075,0.02257295295925828
528,1.0,0.18485046319225085,0.029116223857083404
529,1.0,0.2181545580079124,0.025896084461320173
530,1.0,0.09661344659002323,0.02941250239592971
531,1.0,0.13439249417730015,0.02027319160183201
532,1.0,0.1319227392205481,0.020880738078387966
533,1.0,0.13517301084589273,0.02240257375642257
534,1.0,0.10155204286212385,0.024672709568737555
535,1.0,0.09716714546705804,0.029286716239109972
536,1.0,0.1375167868976113,0.020360342983820775
537,1.0,0.13319486038094017,0.02003918490691661
538,1.0,0.1345220615879445,0.019826336941220758
539,1.0,0.1316029903102484,0.02092676679992428
540,1.0,0.12330261464562331,0.014944160404138122
541,1.0,0.153705651694403,0.02477190399672229
542,1.0,0.1481647674968598,0.024620626343961755
543,1.0,0.15219831914204568,0.024013376085030857
544,1.0,0.15204654319324595,0.022963967036206193
545,1.0,0.14721546703674135,0.02202307926107693
546,1.0,0.12357298640094995,0.018315668526876328
547,1.0,0.1525894528155835,0.02311627211714309
548,1.0,0.12330261464562331,0.016230758251766165
549,1.0,0.22744536222149148,0.03239343394307636
550,1.0,0.25715454664445064,0.01939034941343062
551,1.0,0.25912244809830054,0.021877599691375326
552,1.0,0.2515481748216789,0.020902468614022562
553,1.0,0.2594340848379309,0.020685026417630908
554,1.0,0.24477845879464613,0.019843155995637393
555,1.0,0.24522559046162887,0.018371415837703554
556,1.0,0.2483275718599925,0.017817918992604494
557,1.0,0.27875375448266426,0.020509766094131313
558,1.0,0.28410728791560913,0.018964846871820495
559,1.0,0.290506920881345,0.02200662771319648
560,1.0,0.2392209059218284,0.023187805728398025
561,1.0,0.2158626228908972,0.02512239069793874
562,1.0,0.23795756230191975,0.024150004757116317
563,1.0,0.25191571074428043,0.025975101215971474
564,1.0,0.19860014575505042,0.02236610507175618
565,1.0,0.2328506052884578,0.026633126902490343
566,1.0,0.23108841032576194,0.025684264188543734
567,1.0,0.25083944712161815,0.02721793151643617
568,1.0,0.25933160229243873,0.028911028161440026
569,1.0,0.19664188309187344,0.022133999204235335
570,1.0,0.21482452599633645,0.022235095470616712
571,1.0,0.21061738501534125,0.024492732183384453
572,1.0,0.2137831606218438,0.022995847649321534
573,1.0,0.2522875023135353,0.027341444201589227
574,1.0,0.2544905554652837,0.025989966367749397
575,1.0,0.2513950527755693,0.023770378152780346
576,1.0,0.20080597884903528,0.024733733119650672
577,1.0,0.2427975051162897,0.02701886198364291
578,1.0,0.2915496602767354,0.02397884267441988
579,1.0,0.2559280459779526,0.02653137755988399
580,1.0,0.21086074720129389,0.024528275829399256
581,1.0,0.26356980463873375,0.02897297847919407
582,1.0,0.2624735695468481,0.02623914882836588
583,1.0,0.16921486956400442,0.02404750913387485
584,1.0,0.2624735695468481,0.030817705667019774
585,1.0,0.26123542640681346,0.024622318091502983
586,1.0,0.18298311602220887,0.024496984808673815
587,1.0,0.2352275594108853,0.020078998734529268
588,1.0,0.26165923909136235,0.02490338777206742
589,1.0,0.2624735695468481,0.031622778424901916
590,1.0,0.2145265102920499,0.019728214802895487
591,1.0,0.2527573785492021,0.022824703472984795
592,1.0,0.20922106363408913,0.0151674427140777
593,1.0,0.20979846545345693,0.017143053309515904
594,1.0,0.20734698935033902,0.01979870807365598
595,1.0,0.20960274805507742,0.01826570017991388
596,1.0,0.2808187445832005,0.02610144871952776
597,1.0,0.25013443395171303,0.02262114337522442
598,1.0,0.21359247262611786,0.019223992798385513
599,1.0,0.2061439894526181,0.018403943078761188
600,1.0,0.12737628971702813,0.015919467532814056
601,1.0,0.15813197441507537,0.022263288911896446
602,1.0,0.15790177546518544,0.020547272770633982
603,1.0,0.12725018255396356,0.019513249094279712
604,1.0,0.12672477390983197,0.014247564350668988
605,1.0,0.1435565835151635,0.015454142951300593
606,1.0,0.12742676096930186,0.015687545433869285
607,1.0,0.1284129609621059,0.016294582151577898
608,1.0,0.16096225584431217,0.022020454906756783
609,1.0,0.1576889721844538,0.021976336110961236
610,1.0,0.2783072510413514,0.023015115360451324
611,1.0,0.29261059781154164,0.02671408199782048
612,1.0,0.290473375959514,0.024732186395951487
613,1.0,0.25658943609573204,0.019892407118166026
614,1.0,0.25359772401849107,0.024871689391262202
615,1.0,0.2845121318070638,0.026318813262947514
616,1.0,0.2911961404813745,0.024461297337943586
617,1.0,0.19200381393145632,0.017520485384977587
618,1.0,0.28688161726804096,0.02505302013174284
619,1.0,0.2851695795823812,0.022641598484037868
620,1.0,0.186135356516214,0.02349180699971712
621,1.0,0.18463140247350596,0.024181682478286483
622,1.0,0.20914744324613,0.019783017521018274
623,1.0,0.18463140247350596,0.023892928133169164
624,1.0,0.19308183281590688,0.017980982494081255
625,1.0,0.18405921051924848,0.023713539811167243
626,1.0,0.18642388641424343,0.01959550543701559
627,1.0,0.18618662589789356,0.02228718048723689
628,1.0,0.22836551631862223,0.020880635426089988
629,1.0,0.18537068068721535,0.021784373389186505
630,1.0,0.22633426390372494,0.022448527628087116
631,1.0,0.16365697904511706,0.019181205161312498
632,1.0,0.22770184147370434,0.021822835761594002
633,1.0,0.23958564316908046,0.020902272379875825
634,1.0,0.16333751719800044,0.017112807389632258
635,1.0,0.22762829336120227,0.022660972036380643
636,1.0,0.164302127356837,0.01927618320960206
637,1.0,0.22571979455679267,0.021163829598756578
638,1.0,0.1631501818556459,0.016820876054474992
639,1.0,0.23264491618705435,0.024525539334771595
640,1.0,0.23156412547585012,0.02210648907144503
641,1.0,0.23156412547585012,0.02001461041143012
642,1.0,0.2296732935921785,0.019355453232948114
643,1.0,0.22991470779260928,0.02149684874677498
644,1.0,0.23045876431892,0.02032661628105116
645,1.0,0.23156412547585012,0.015980765425707033
646,1.0,0.23234476273241178,0.018517853938768078
647,1.0,0.23156412547585012,0.01649796127285199
648,1.0,0.2013788174383778,0.019201233065917728
649,1.0,0.23307671847352235,0.019328376689981008
650,1.0,0.1782379256322782,0.022942518039991824
651,1.0,0.16486342174918378,0.020282855772910606
652,1.0,0.2329025349282002,0.026075247653487756
653,1.0,0.16442025933750756,0.019876142937990678
654,1.0,0.17903695807457135,0.0266838950124788
655,1.0,0.1696593143128991,0.021017339458745603
656,1.0,0.17002399458986822,0.02086865939954925
657,1.0,0.1782379256322782,0.023689546041574455
658,1.0,0.16412917914196531,0.015336362646434261
659,1.0,0.1696593143128991,0.020589608781889722
660,1.0,0.18641887055622633,0.01689096510971314
661,1.0,0.258181312657329,0.023159074707833703
662,1.0,0.18766439562318293,0.014636524085006106
663,1.0,0.2570425096198828,0.024813300350362395
664,1.0,0.25418310286798884,0.025777491918145476
665,1.0,0.26338794855923825,0.02659786446773785
666,1.0,0.260492978040944,0.025803905808781686
667,1.0,0.25708785777477344,0.024043553686776402
668,1.0,0.1859015985310015,0.015514924068428339
669,1.0,0.2642781375481405,0.02209843707309107
670,1.0,0.19153558661299722,0.01834718139623423
671,1.0,0.18200467024072997,0.01570009715213266
672,1.0,0.21715908374511295,0.02616638635318561
673,1.0,0.18129826199930044,0.017014278581938855
674,1.0,0.21806426567012033,0.02847408688191864
675,1.0,0.19317491028124897,0.019308076665606216
676,1.0,0.18240611277633545,0.014387977519360249
677,1.0,0.22670860557241718,0.026872457970645205
678,1.0,0.17023343452686118,0.02129612108713407
679,1.0,0.2166841849773257,0.024539084832248804
680,1.0,0.17343579067391054,0.016211325101482793
681,1.0,0.1725822531135671,0.01935768668045383
682,1.0,0.18518948720385575,0.015528984002104397
683,1.0,0.18071054940626893,0.013939699506136424
684,1.0,0.17343579067391063,0.011295133963518578
685,1.0,0.1801998378818779,0.018312098979092164
686,1.0,0.1846032039656565,0.01840074308552494
687,1.0,0.18071054940626893,0.017320190356782894
688,1.0,0.21879500252445144,0.017167776851549257
689,1.0,0.18509939196608544,0.015350441660993247
690,1.0,0.18380114096623543,0.018812900340562103
691,1.0,0.20697648325245888,0.01840021285138645
692,1.0,0.1853466618895778,0.015518125903630484
693,1.0,0.20604638170594997,0.02061983871468435
694,1.0,0.19548975635740007,0.01965418757087182
695,1.0,0.18344740449251906,0.01792461320213153
696,1.0,0.19548975635740007,0.016411758680385292
697,1.0,0.13102756641957009,0.01755773599828718
698,1.0,0.18245943496123818,0.017334986727448362
699,1.0,0.18467020171586646,0.019559517392452114
700,1.0,0.08692886041355484,0.01679371440364708
701,1.0,0.08664302061530951,0.013977597929573175
702,1.0,0.08664302061530951,0.016777653266675262
703,1.0,0.08692886041355484,0.013665581225957762
704,1.0,0.08712198909130796,0.014130832795654507
705,1.0,0.08380214222453786,0.015699265266244575
706,1.0,0.08716061478530603,0.01633989206771785
707,1.0,0.08706174043687527,0.015893508654245332
708,1.0,0.08730793944874864,0.014798062421936532
709,1.0,0.08676970277270428,0.012269119672688575
710,1.0,0.12323803557307449,0.01990974535673461
711,1.0,0.12552765345100178,0.017613043540790917
712,1.0,0.15108351979807255,0.013919924888877432
713,1.0,0.1245970777116719,0.019174786967527065
714,1.0,0.12302907097976731,0.019186082246627392
715,1.0,0.1425573055093482,0.017632338584300727
716,1.0,0.14707437590767355,0.01789736849248984
717,1.0,0.1251000480226503,0.021251862667883172
718,1.0,0.124332671812967,0.018626212334458662
719,1.0,0.12561045800557638,0.014396884320246222
720,1.0,0.1011410012542479,0.020466033833772598
721,1.0,0.18384161468311083,0.02492242096104166
722,1.0,0.08958136020365484,0.0187276865518994
723,1.0,0.21305091536573814,0.026414022442388493
724,1.0,0.1820745669164894,0.018841590369790658
725,1.0,0.18358487123821515,0.026444452624655317
726,1.0,0.170477640518136,0.02346610179005578
727,1.0,0.090203855372353,0.016143638754708107
728,1.0,0.22021280020845616,0.029919811093839007
729,1.0,0.18060912953236485,0.022134458033169435
730,1.0,0.09327613835272484,0.02062771021235885
731,1.0,0.09280539118632654,0.017076314698843884
732,1.0,0.09224801614401185,0.01765002877070718
733,1.0,0.09297747200356943,0.017005868794783503
734,1.0,0.09280539118632654,0.018436106281903935
735,1.0,0.16049034718765876,0.025606339828140763
736,1.0,0.094531703933003,0.01479449110810062
737,1.0,0.09007984032644793,0.020200716570800255
738,1.0,0.09444539254487723,0.015822762564795284
739,1.0,0.09280539118632654,0.018577373447206717
740,1.0,0.19647222497545755,0.021271822107244858
741,1.0,0.19647222497545755,0.02147601838212364
742,1.0,0.19682977741494104,0.019479021863968875
743,1.0,0.1963463880051602,0.015948957840961776
744,1.0,0.19647222497545755,0.020744558362932836
745,1.0,0.19647222497545755,0.019807113262884053
746,1.0,0.195111179088974,0.01931362424974646
747,1.0,0.19647222497545755,0.01830309481627463
748,1.0,0.19762440583749563,0.017846652366432254
749,1.0,0.195728660802211,0.018702905243855747
750,1.0,0.20291605766844004,0.01916001450532106
751,1.0,0.20721823838654885,0.01960522442145445
752,1.0,0.20548543483706067,0.01903678895612996
753,1.0,0.20620045086924407,0.020177993985298903
754,1.0,0.20434869528749106,0.01660910820124399
755,1.0,0.204851945038884,0.019503475427659223
756,1.0,0.2094473653933207,0.019215131555702293
757,1.0,0.204851945038884,0.016937293661552145
758,1.0,0.20453593719521745,0.01959613219149378
759,1.0,0.21172749111864386,0.020687928849601373
760,1.0,0.25817085974802256,0.019230014112990634
761,1.0,0.26039508530935035,0.02379824221746754
762,1.0,0.26020959017575607,0.0211507802743172
763,1.0,0.26016208218293474,0.02234660245421476
764,1.0,0.2441538065603401,0.01736972383008837
765,1.0,0.24387415020606898,0.02253386117732861
766,1.0,0.27368817990225786,0.026396339653331612
767,1.0,0.24390258523236633,0.018156306921709605
768,1.0,0.2567831521877143,0.01904771083516382
769,1.0,0.26039508530935035,0.019624791906828597
770,1.0,0.25595340912573356,0.020500597457985662
771,1.0,0.2780256032871931,0.023949593382411344
772,1.0,0.2622989631681621,0.019578446713731906
773,1.0,0.27656553512524507,0.0215484739489669
774,1.0,0.24697147179062864,0.01992748913269993
775,1.0,0.24805205910457606,0.019346513335083887
776,1.0,0.24746091796654046,0.022864662968208726
777,1.0,0.239120316099215,0.01624993222938596
778,1.0,0.24646137017553987,0.02089557129849211
779,1.0,0.29808366952813825,0.024309052238513183
780,1.0,0.2628564190322892,0.031755121355479816
781,1.0,0.18064727244266754,0.02570498868448359
782,1.0,0.14732327791671512,0.01724852105298609
783,1.0,0.17713983268243944,0.026697435908464982
784,1.0,0.17058477672694733,0.019640027409889023
785,1.0,0.14704649187539118,0.01710560087289742
786,1.0,0.16530748448457677,0.02592846894038816
