,Time,Original,Shuffled
0,0.5,,
1,0.5,,
2,0.5,,
3,0.5,,
4,0.5,,
5,0.5,,
6,0.5,,
7,0.5,,
8,0.5,,
9,0.5,,
10,0.5,,
11,0.5,,
12,0.5,,
13,0.5,,
14,0.5,,
15,0.5,,
16,0.5,,
17,0.5,,
18,0.5,,
19,0.5,,
20,0.5,,
21,0.5,,
22,0.5,,
23,0.5,,
24,0.5,,
25,0.5,,
26,0.5,,
27,0.5,,
28,0.5,,
29,0.5,,
30,0.5,,
31,0.5,,
32,0.5,,
33,0.5,,
34,0.5,,
35,0.5,,
36,0.5,,
37,0.5,,
38,0.5,,
39,0.5,,
40,0.5,,
41,0.5,,
42,0.5,,
43,0.5,,
44,0.5,,
45,0.5,,
46,0.5,,
47,0.5,,
48,0.5,,
49,0.5,,
50,0.5,,
51,0.5,,
52,0.5,,
53,0.5,,
54,0.5,,
55,0.5,,
56,0.5,,
57,0.5,,
58,0.5,,
59,0.5,,
60,0.5,,
61,0.5,,
62,0.5,,
63,0.5,,
64,0.5,,
65,0.5,,
66,0.5,,
67,0.5,,
68,0.5,,
69,0.5,,
70,0.5,,
71,0.5,,
72,0.5,,
73,0.5,,
74,0.5,,
75,0.5,,
76,0.5,,
77,0.5,,
78,0.5,,
79,0.5,,
80,0.5,,
81,0.5,,
82,0.5,,
83,0.5,,
84,0.5,,
85,0.5,,
86,0.5,,
87,0.5,,
88,0.5,,
89,0.5,,
90,0.5,,
91,0.5,,
92,0.5,,
93,0.5,,
94,0.5,,
95,0.5,,
96,0.5,,
97,0.5,,
98,0.5,,
99,0.5,,
100,0.5,,
101,0.5,,
102,0.5,,
103,0.5,,
104,0.5,,
105,0.5,,
106,0.5,,
107,0.5,,
108,0.5,,
109,0.5,,
110,0.5,,
111,0.5,,
112,0.5,,
113,0.5,,
114,0.5,,
115,0.5,,
116,0.5,,
117,0.5,,
118,0.5,,
119,0.5,,
120,0.5,,
121,0.5,,
122,0.5,,
123,0.5,,
124,0.5,,
125,0.5,,
126,0.5,,
127,0.5,,
128,0.5,,
129,0.5,,
130,0.5,,
131,0.5,,
132,0.5,,
133,0.5,,
134,0.5,,
135,0.5,,
136,0.5,,
137,0.5,,
138,0.5,,
139,0.5,,
140,0.5,,
141,0.5,,
142,0.5,,
143,0.5,,
144,0.5,,
145,0.5,,
146,0.5,,
147,0.5,,
148,0.5,,
149,0.5,,
150,0.5,,
151,0.5,,
152,0.5,,
153,0.5,,
154,0.5,,
155,0.5,,
156,0.5,,
157,0.5,,
158,0.5,,
159,0.5,,
160,0.5,,
161,0.5,,
162,0.5,,
163,0.5,,
164,0.5,,
165,0.5,,
166,0.5,,
167,0.5,,
168,0.5,,
169,0.5,,
170,0.5,,
171,0.5,,
172,0.5,,
173,0.5,,
174,0.5,,
175,0.5,,
176,0.5,,
177,0.5,,
178,0.5,,
179,0.5,,
180,0.5,,
181,0.5,,
182,0.5,,
183,0.5,,
184,0.5,,
185,0.5,,
186,0.5,,
187,0.5,,
188,0.5,,
189,0.5,,
190,0.5,,
191,0.5,,
192,0.5,,
193,0.5,,
194,0.5,,
195,0.5,,
196,0.5,,
197,0.5,,
198,0.5,,
199,0.5,,
200,0.5,,
201,0.5,,
202,0.5,,
203,0.5,,
204,0.5,,
205,0.5,,
206,0.5,,
207,0.5,,
208,0.5,,
209,0.5,,
210,0.5,,
211,0.5,,
212,0.5,,
213,0.5,,
214,0.5,,
215,0.5,,
216,0.5,,
217,0.5,,
218,0.5,,
219,0.5,,
220,0.5,,
221,0.5,,
222,0.5,,
223,0.5,,
224,0.5,,
225,0.5,,
226,0.5,,
227,0.5,,
228,0.5,,
229,0.5,,
230,0.5,,
231,0.5,,
232,0.5,,
233,0.5,,
234,0.5,,
235,0.5,,
236,0.5,,
237,0.5,,
238,0.5,,
239,0.5,,
240,0.5,,
241,0.5,,
242,0.5,,
243,0.5,,
244,0.5,,
245,0.5,,
246,0.5,,
247,0.5,,
248,0.5,,
249,0.5,,
250,0.5,,
251,0.5,,
252,0.5,,
253,0.5,,
254,0.5,,
255,0.5,,
256,0.5,,
257,0.5,,
258,0.5,,
259,0.5,,
260,0.5,,
261,0.5,,
262,0.5,,
263,0.5,,
264,0.5,,
265,0.5,,
266,0.5,,
267,0.5,,
268,0.5,,
269,0.5,,
270,0.5,,
271,0.5,,
272,0.5,,
273,0.5,,
274,0.5,,
275,0.5,,
276,0.5,,
277,0.5,,
278,0.5,,
279,0.5,,
280,0.5,,
281,0.5,,
282,0.5,,
283,0.5,,
284,0.5,,
285,0.5,,
286,0.5,,
287,0.5,,
288,0.5,,
289,0.5,,
290,0.5,,
291,0.5,,
292,0.5,,
293,0.5,,
294,0.5,,
295,0.5,,
296,0.5,,
297,0.5,,
298,0.5,,
299,0.5,,
300,0.5,,
301,0.5,,
302,0.5,,
303,0.5,,
304,0.5,,
305,0.5,,
306,0.5,,
307,0.5,,
308,0.5,,
309,0.5,,
310,0.5,,
311,0.5,,
312,0.5,,
313,0.5,,
314,0.5,,
315,0.5,,
316,0.5,,
317,0.5,,
318,0.5,,
319,0.5,,
320,0.5,,
321,0.5,,
322,0.5,,
323,0.5,,
324,0.5,,
325,0.5,,
326,0.5,,
327,0.5,,
328,0.5,,
329,0.5,,
330,0.5,,
331,0.5,,
332,0.5,,
333,0.5,,
334,0.5,,
335,0.5,,
336,0.5,,
337,0.5,,
338,0.5,,
339,0.5,,
340,0.5,,
341,0.5,,
342,0.5,,
343,0.5,,
344,0.5,,
345,0.5,,
346,0.5,,
347,0.5,,
348,0.5,,
349,0.5,,
350,0.5,,
351,0.5,,
352,0.5,,
353,0.5,,
354,0.5,,
355,0.5,,
356,0.5,,
357,0.5,,
358,0.5,,
359,0.5,,
360,0.5,,
361,0.5,,
362,0.5,,
363,0.5,,
364,0.5,,
365,0.5,,
366,0.5,,
367,0.5,,
368,0.5,,
369,0.5,,
370,0.5,,
371,0.5,,
372,0.5,,
373,0.5,,
374,0.5,,
375,0.5,,
376,0.5,,
377,0.5,,
378,0.5,,
379,0.5,,
380,0.5,,
381,0.5,,
382,0.5,,
383,0.5,,
384,0.5,,
385,0.5,,
386,0.5,,
387,0.5,,
388,0.5,,
389,0.5,,
390,0.5,,
391,0.5,,
392,0.5,,
393,0.5,,
394,0.5,,
395,0.5,,
396,0.5,,
397,0.5,,
398,0.5,,
399,0.5,,
400,0.5,,
401,0.5,,
402,0.5,,
403,0.5,,
404,0.5,,
405,0.5,,
406,0.5,,
407,0.5,,
408,0.5,,
409,0.5,,
410,0.5,,
411,0.5,,
412,0.5,,
413,0.5,,
414,0.5,,
415,0.5,,
416,0.5,,
417,0.5,,
418,0.5,,
419,0.5,,
420,0.5,,
421,0.5,,
422,0.5,,
423,0.5,,
424,0.5,,
425,0.5,,
426,0.5,,
427,0.5,,
428,0.5,,
429,0.5,,
430,0.5,,
431,0.5,,
432,0.5,,
433,0.5,,
434,0.5,,
435,0.5,,
436,0.5,,
437,0.5,,
438,0.5,,
439,0.5,,
440,0.5,,
441,0.5,,
442,0.5,,
443,0.5,,
444,0.5,,
445,0.5,,
446,0.5,,
447,0.5,,
448,0.5,,
449,0.5,,
450,0.5,,
451,0.5,,
452,0.5,,
453,0.5,,
454,0.5,,
455,0.5,,
456,0.5,,
457,0.5,,
458,0.5,,
459,0.5,,
460,0.5,,
461,0.5,,
462,0.5,,
463,0.5,,
464,0.5,,
465,0.5,,
466,0.5,,
467,0.5,,
468,0.5,,
469,0.5,,
470,0.5,,
471,0.5,,
472,0.5,,
473,0.5,,
474,0.5,,
475,0.5,,
476,0.5,,
477,0.5,,
478,0.5,,
479,0.5,,
480,0.5,,
481,0.5,,
482,0.5,,
483,0.5,,
484,0.5,,
485,0.5,,
486,0.5,,
487,0.5,,
488,0.5,,
489,0.5,,
490,0.5,,
491,0.5,,
492,0.5,,
493,0.5,,
494,0.5,,
495,0.5,,
496,0.5,,
497,0.5,,
498,0.5,,
499,0.5,,
500,1.0,0.1528544292362343,0.033257102414829445
501,1.0,0.26644018663826813,0.03866222885447239
502,1.0,0.30415161985671446,0.04157285672261908
503,1.0,0.21615195073954058,0.041492277845735885
504,1.0,0.22878597189150804,0.03948339852199345
505,1.0,0.2898263872639694,0.04533421938810498
506,1.0,0.3075193566380576,0.03867556647422029
507,1.0,0.22828213985231915,0.032310525457415314
508,1.0,0.2910955921994115,0.035153845034320105
509,1.0,0.25549431454073285,0.035064860192748924
510,1.0,0.2815024395414021,0.03858740185905499
511,1.0,0.21871739480643843,0.03304147643696226
512,1.0,0.2392955835686064,0.03336465624805625
513,1.0,0.2576686113522302,0.03954306356271263
514,1.0,0.30405620696737456,0.03525841405469859
515,1.0,0.2712779913894841,0.032991358222234896
516,1.0,0.2513226763947486,0.03770880298337283
517,1.0,0.29724093727971873,0.03702694642460479
518,1.0,0.25016963340625364,0.035873726085521494
519,1.0,0.2874676174146458,0.03731761634065198
520,1.0,0.2680946660150133,0.04424095022403354
521,1.0,0.23844998271076642,0.031248639314842203
522,1.0,0.25305049564058163,0.04352180522544936
523,1.0,0.22209221186667946,0.03416850506637536
524,1.0,0.23283819452703342,0.03445092569083799
525,1.0,0.29810293467583615,0.039574066832560546
526,1.0,0.24677855408231475,0.03945957987823487
527,1.0,0.276080240670997,0.03575971054732121
528,1.0,0.27377540969889547,0.035299388670151616
529,1.0,0.2711884937597207,0.03197247154334813
530,1.0,0.17504719571230046,0.03927834470063967
531,1.0,0.21068449288672048,0.03808398209328094
532,1.0,0.15138715180985926,0.03182718834437306
533,1.0,0.22616562383701144,0.03724476254212441
534,1.0,0.3003336927150752,0.045987205037250706
535,1.0,0.2359472976925189,0.04259278578162117
536,1.0,0.2802362776833883,0.037293320569964594
537,1.0,0.2890346285746699,0.03916681865746115
538,1.0,0.22887496707656735,0.042377681899065024
539,1.0,0.24431805792922767,0.04026909374453089
540,1.0,0.2637148727663431,0.03769720878878901
541,1.0,0.25616339585852427,0.037828522639362774
542,1.0,0.31793846119497754,0.04301135430972968
543,1.0,0.21468092099367814,0.0383036335938518
544,1.0,0.26512623316924194,0.037653628672364214
545,1.0,0.31790935799628256,0.044175451004162224
546,1.0,0.2670015773006667,0.041856312632428214
547,1.0,0.29718708691173146,0.03623634398562801
548,1.0,0.3081759257537393,0.035443919133355595
549,1.0,0.3313559387958903,0.04438354321690031
550,1.0,0.31538885501955766,0.03260798575883641
551,1.0,0.28989992115255914,0.03442117760551716
552,1.0,0.3134705842234163,0.03180705892661701
553,1.0,0.2829430168612657,0.03505274224513708
554,1.0,0.3195006825663787,0.03737810178334345
555,1.0,0.29085587289121395,0.03429641935291913
556,1.0,0.2533111196292411,0.029885680049964867
557,1.0,0.29977745097092146,0.030833778054490488
558,1.0,0.2779865667812449,0.02801739953076271
559,1.0,0.2915505799900007,0.03541908890931778
560,1.0,0.26063637881661184,0.027115687731308864
561,1.0,0.2836890185178969,0.03712279649589223
562,1.0,0.3170479330338875,0.03133663186894228
563,1.0,0.3018204697870217,0.031659769971859986
564,1.0,0.3094119330136661,0.030599291030891235
565,1.0,0.30032184094082104,0.03170584457738371
566,1.0,0.2814686324946983,0.03397609494206526
567,1.0,0.28898641206574377,0.03481101014252726
568,1.0,0.33037312555212134,0.029037366965839452
569,1.0,0.3011941819787327,0.030185157939019106
570,1.0,0.3146459443614204,0.03484469994356739
571,1.0,0.26959121039197725,0.03211644204914001
572,1.0,0.2611823536596493,0.029873094939156946
573,1.0,0.29222435142554637,0.03140111157473606
574,1.0,0.3039045361040102,0.037945458759934
575,1.0,0.30559971177632606,0.030318119729774856
576,1.0,0.3259212919599191,0.03342766606303738
577,1.0,0.32622198128330154,0.0325428815707746
578,1.0,0.2537117140664882,0.02615750871067324
579,1.0,0.28296784856768,0.03210265357681801
580,1.0,0.19179771000399057,0.029153496180564942
581,1.0,0.2958751085554902,0.03463934074749455
582,1.0,0.24350550145620053,0.030337238550213804
583,1.0,0.3128859004248421,0.03210007566070597
584,1.0,0.30865940968895367,0.029752562398748517
585,1.0,0.27909196934674996,0.030100817460709802
586,1.0,0.3050273593040653,0.03462607531805385
587,1.0,0.3275907986435411,0.03391431612709148
588,1.0,0.29694496061358866,0.02975028211846412
589,1.0,0.30974099979124414,0.02976512076406874
590,1.0,0.3518765736769874,0.03735306150594159
591,1.0,0.32672312148106125,0.03304917861141839
592,1.0,0.30566582519734453,0.028243815290037777
593,1.0,0.36331112430920426,0.03285690253081303
594,1.0,0.33540300444159293,0.03597109264793309
595,1.0,0.31974942143829316,0.03308496342656058
596,1.0,0.3404616807882971,0.03052529882724094
597,1.0,0.2991942630418635,0.028225187385238614
598,1.0,0.32218112319698494,0.03695912283230343
599,1.0,0.3588747708291444,0.02867536452908883
600,1.0,0.3029005181895296,0.029122499289857304
601,1.0,0.3143126788139074,0.034421745983716764
602,1.0,0.288595632198772,0.028855687917383986
603,1.0,0.3107597268850211,0.0352432516987367
604,1.0,0.32047047392094574,0.03378713302986266
605,1.0,0.2624428083404717,0.029466434354290666
606,1.0,0.27781240723558126,0.028750050770490723
607,1.0,0.3264973071688466,0.029141630255928547
608,1.0,0.22696767689312722,0.02922577300478655
609,1.0,0.315434019368789,0.031130159405177306
610,1.0,0.30516502087955605,0.028429473406290397
611,1.0,0.332249345213807,0.029322276803109625
612,1.0,0.31634701337820315,0.03202792465410256
613,1.0,0.2973506143141519,0.026474847330069752
614,1.0,0.2960930421167314,0.028498895255030868
615,1.0,0.21976441989194853,0.03433975408765711
616,1.0,0.3027196195783868,0.031834755624945164
617,1.0,0.2930209004624706,0.0264637603421315
618,1.0,0.2780433066090053,0.02734470284654711
619,1.0,0.31227505640562747,0.03389861890806914
620,1.0,0.24927933742901756,0.026245555261172476
621,1.0,0.32714073226802315,0.030536292626846425
622,1.0,0.2665973175520839,0.025341925329863967
623,1.0,0.2832236584523696,0.03038065758824427
624,1.0,0.25388818976994815,0.031143258017377617
625,1.0,0.2888796216190709,0.03338736451863433
626,1.0,0.3177827336063824,0.027681597037657497
627,1.0,0.27526103228293664,0.026884270700390706
628,1.0,0.24445991257981783,0.026169327275055002
629,1.0,0.283520538913195,0.030614409945686788
630,1.0,0.23766501099233853,0.029361291008752063
631,1.0,0.29630020200669954,0.03406329955054879
632,1.0,0.33779897687976485,0.03516897511770951
633,1.0,0.2573334511877328,0.030684348919131663
634,1.0,0.2687098293718409,0.030534073372729748
635,1.0,0.29476025003172796,0.03165870670972737
636,1.0,0.284606383235438,0.03286956660306441
637,1.0,0.260609219685959,0.027827112903332115
638,1.0,0.3215662764889454,0.02921263320207411
639,1.0,0.19725049920441456,0.03283080109699252
640,1.0,0.2785951127882079,0.02649532880718269
641,1.0,0.2997087794369868,0.03102864294293525
642,1.0,0.30129854074211493,0.03209585164726842
643,1.0,0.30853968826699685,0.03303252749150202
644,1.0,0.2954730219625674,0.03145083148760747
645,1.0,0.3311448179076976,0.03389465127237574
646,1.0,0.3092651424961829,0.02869110654864439
647,1.0,0.34677674035132355,0.031997532861692914
648,1.0,0.322363051934127,0.031998296721120194
649,1.0,0.3093174241157294,0.03252156075033186
650,1.0,0.30602149685411767,0.032378329701804216
651,1.0,0.2785744834793418,0.03289800425643828
652,1.0,0.30890821454515355,0.032905526232415855
653,1.0,0.29397340719015774,0.03325637539724814
654,1.0,0.270158997582614,0.030119011256114398
655,1.0,0.21413377755084265,0.029128877922300216
656,1.0,0.24601716172553711,0.034928368528885
657,1.0,0.26214198038350706,0.032896198415154246
658,1.0,0.2636166996494792,0.03272255559175621
659,1.0,0.294521162174164,0.03590773401262464
660,1.0,0.2946537382919241,0.03276567682668134
661,1.0,0.29267875125588216,0.03469992381373723
662,1.0,0.28943208865435166,0.02870088491196173
663,1.0,0.2852778641941182,0.034186002669448684
664,1.0,0.32524030260819203,0.03379097852847799
665,1.0,0.27523247419142666,0.03349684868150645
666,1.0,0.288531093506841,0.029397529206271755
667,1.0,0.28536909101295826,0.0284104768264194
668,1.0,0.31731321771191034,0.033173019965963405
669,1.0,0.28843137053706563,0.03144415905195581
670,1.0,0.2670661690914993,0.028139767106356815
671,1.0,0.23415171493601705,0.02773874680885588
672,1.0,0.24482500709197008,0.03348124925151599
673,1.0,0.2759630359337766,0.03385573342609163
674,1.0,0.25717019596066004,0.03472438070762776
675,1.0,0.2929548356253636,0.03088948689675399
676,1.0,0.22529843698152652,0.02849533521430556
677,1.0,0.22613686939442498,0.029609835379730862
678,1.0,0.26818884839179974,0.037152539370000855
679,1.0,0.26858044992948615,0.03551715017269707
680,1.0,0.32709350406753346,0.03547814222504228
681,1.0,0.24464289951545282,0.03797821459834178
682,1.0,0.2871481114435154,0.029557706714874905
683,1.0,0.30961504566140313,0.03266173061203473
684,1.0,0.24340371935172603,0.03350401270573152
685,1.0,0.24505794438238848,0.03582170772391896
686,1.0,0.23172912408402568,0.028588522519523173
687,1.0,0.31078181118852616,0.0299525078635519
688,1.0,0.28194268115648896,0.03587664221299544
689,1.0,0.28605997389439913,0.034276683379076835
690,1.0,0.3010218730524138,0.03305399765687065
691,1.0,0.2802534590879502,0.032100555133518956
692,1.0,0.31917235732183896,0.036993323316512054
693,1.0,0.27943688962024854,0.03501914237509935
694,1.0,0.29832838426137487,0.03307764218302721
695,1.0,0.2879691371195227,0.02729211991348456
696,1.0,0.30351948281537167,0.03593475168618855
697,1.0,0.29270545996529196,0.033934558226555424
698,1.0,0.2863198931278316,0.031036432349540715
699,1.0,0.2853652893955202,0.0293745868778347
700,1.0,0.2697240118854769,0.037318599152045405
701,1.0,0.2675683517777122,0.03383840210364587
702,1.0,0.3212708393818339,0.03764087014604229
703,1.0,0.184944664627691,0.028188783472925784
704,1.0,0.3054633114948435,0.02895421632131969
705,1.0,0.2549783993197306,0.03597718309604189
706,1.0,0.22132368637310956,0.032888193996535385
707,1.0,0.24038497909334416,0.03522977793095367
708,1.0,0.3446494584690526,0.039480315846653354
709,1.0,0.24799625530406344,0.0328559596667972
710,1.0,0.2243077509214399,0.02900580444240174
711,1.0,0.29648491902332336,0.03307760094678577
712,1.0,0.322507411281143,0.03164141779679998
713,1.0,0.31735118551520514,0.03397509286378632
714,1.0,0.33089346729327607,0.03472646523641482
715,1.0,0.32060642451358834,0.03168909029241072
716,1.0,0.2582931960720944,0.030206226908256157
717,1.0,0.2624234152204742,0.0303883742395083
718,1.0,0.31994041947456814,0.03649003464864664
719,1.0,0.3292889743663958,0.030941491550441326
720,1.0,0.2585345121017717,0.03683432745286983
721,1.0,0.23565226234154604,0.03443560869973146
722,1.0,0.3122411710478299,0.031862016090935606
723,1.0,0.20589282961022207,0.03854524809034086
724,1.0,0.279464856504423,0.03148886680038068
725,1.0,0.2052281257547428,0.026956995473764483
726,1.0,0.18238620849363416,0.029198529782260743
727,1.0,0.2237686836132265,0.03545813245363524
728,1.0,0.246116637136124,0.03825797942159303
729,1.0,0.2707142385985369,0.027679156365702413
730,1.0,0.3044973775066816,0.034376220048952744
731,1.0,0.2804270339773169,0.03479058266095716
732,1.0,0.3302874296135307,0.03403740701658565
733,1.0,0.3065222501368682,0.030057849278391276
734,1.0,0.3373631101648213,0.03295613375893208
735,1.0,0.31302629909352947,0.02865299207422796
736,1.0,0.32414145187451154,0.03095661016357165
737,1.0,0.25099231482193757,0.03366216397931454
738,1.0,0.3137923246978606,0.0377103583903502
739,1.0,0.3082588381175467,0.032644576459088186
740,1.0,0.3443312767134841,0.036036015227596356
741,1.0,0.2451809381682962,0.030506086814646238
742,1.0,0.30304650442288456,0.034924509631749506
743,1.0,0.3348453267684736,0.03270462276401834
744,1.0,0.3162145563682016,0.032874182961678614
745,1.0,0.32728592334695894,0.03735350372998926
746,1.0,0.3305753799772649,0.03135207509134556
747,1.0,0.3067026634648505,0.030963243020511903
748,1.0,0.320502871509697,0.03245479913246909
749,1.0,0.32569933487584884,0.03476018485154097
750,1.0,0.27336408631069264,0.034492017056337206
751,1.0,0.318871062110309,0.03640335627567593
752,1.0,0.2829930146130058,0.02696072626448323
753,1.0,0.3110420950866267,0.0290444863996995
754,1.0,0.3151332480409421,0.029749504820148636
755,1.0,0.29642145595380764,0.03376571847543583
756,1.0,0.32209214866741487,0.033237442952666924
757,1.0,0.32667833758061243,0.037313643740512645
758,1.0,0.29475650346823656,0.034363972146810313
759,1.0,0.3284300490468776,0.031593343802567835
760,1.0,0.3056294127848134,0.028862518243558816
761,1.0,0.3573512319787372,0.032203551491491296
762,1.0,0.30713228318988334,0.03507157860233135
763,1.0,0.30996128343184515,0.03692143204905515
764,1.0,0.30771055614615556,0.03185039369790627
765,1.0,0.299048755573857,0.030520646810700502
766,1.0,0.3305479217175362,0.033358123784732484
767,1.0,0.3206004319856096,0.036587090824979546
768,1.0,0.3297461317026052,0.037901558014482195
769,1.0,0.3136972001589081,0.03212719858211242
770,1.0,0.275872381621066,0.0325404094846034
771,1.0,0.34457639974412596,0.03188465139914288
772,1.0,0.2898768945852419,0.037278947274831144
773,1.0,0.36123690497089544,0.0351937445658632
774,1.0,0.27395570798361746,0.028969550931803284
775,1.0,0.30207015369220125,0.028586348640771846
776,1.0,0.3053871528820163,0.03466792217120848
777,1.0,0.3360795045730749,0.03490123381908088
778,1.0,0.3170459288792452,0.03177567502929973
779,1.0,0.36474403215665846,0.03774896607370278
780,1.0,0.31501852632484945,0.03392060147301045
781,1.0,0.2179619872015283,0.033312809375444126
782,1.0,0.21854715184143964,0.0346755092822531
783,1.0,0.34487755174455265,0.041007076762398925
784,1.0,0.28920216256493736,0.030511640174577755
785,1.0,0.30238538501517187,0.03485055745153008
786,1.0,0.29500531453048623,0.03802806119804595
